MONTH_YR,PRODUCT_TYPE,TOTAL_PREMIUM
Thu Oct 31 2024 19:00:00 GMT-0500 (Central Daylight Time),Cyber Liability,479390.27
Thu Oct 31 2024 19:00:00 GMT-0500 (Central Daylight Time),Directors & Officers,717464.64
Thu Oct 31 2024 19:00:00 GMT-0500 (Central Daylight Time),Errors & Omissions,365512.05
Thu Oct 31 2024 19:00:00 GMT-0500 (Central Daylight Time),Event Cancellation,163123.01
Thu Oct 31 2024 19:00:00 GMT-0500 (Central Daylight Time),Marine Cargo,241516.58
Mon Sep 30 2024 19:00:00 GMT-0500 (Central Daylight Time),Cyber Liability,533422.88
Mon Sep 30 2024 19:00:00 GMT-0500 (Central Daylight Time),Directors & Officers,758535.71
Mon Sep 30 2024 19:00:00 GMT-0500 (Central Daylight Time),Errors & Omissions,320200.3
Mon Sep 30 2024 19:00:00 GMT-0500 (Central Daylight Time),Event Cancellation,152093.94
Mon Sep 30 2024 19:00:00 GMT-0500 (Central Daylight Time),Marine Cargo,237034.93
Sat Aug 31 2024 19:00:00 GMT-0500 (Central Daylight Time),Cyber Liability,489783.55
Sat Aug 31 2024 19:00:00 GMT-0500 (Central Daylight Time),Directors & Officers,627876.08
Sat Aug 31 2024 19:00:00 GMT-0500 (Central Daylight Time),Errors & Omissions,373713.6
Sat Aug 31 2024 19:00:00 GMT-0500 (Central Daylight Time),Event Cancellation,159470.49
Sat Aug 31 2024 19:00:00 GMT-0500 (Central Daylight Time),Marine Cargo,268079.15
Wed Jul 31 2024 19:00:00 GMT-0500 (Central Daylight Time),Cyber Liability,438154.16
Wed Jul 31 2024 19:00:00 GMT-0500 (Central Daylight Time),Directors & Officers,634033.11
Wed Jul 31 2024 19:00:00 GMT-0500 (Central Daylight Time),Errors & Omissions,402187.26
Wed Jul 31 2024 19:00:00 GMT-0500 (Central Daylight Time),Event Cancellation,175554.32
Wed Jul 31 2024 19:00:00 GMT-0500 (Central Daylight Time),Marine Cargo,263613.12
Sun Jun 30 2024 19:00:00 GMT-0500 (Central Daylight Time),Cyber Liability,459793.08
Sun Jun 30 2024 19:00:00 GMT-0500 (Central Daylight Time),Directors & Officers,529071.15
Sun Jun 30 2024 19:00:00 GMT-0500 (Central Daylight Time),Errors & Omissions,306390.69
Sun Jun 30 2024 19:00:00 GMT-0500 (Central Daylight Time),Event Cancellation,139154.81
Sun Jun 30 2024 19:00:00 GMT-0500 (Central Daylight Time),Marine Cargo,260323.67
Fri May 31 2024 19:00:00 GMT-0500 (Central Daylight Time),Cyber Liability,410024.32
Fri May 31 2024 19:00:00 GMT-0500 (Central Daylight Time),Directors & Officers,724272.83
Fri May 31 2024 19:00:00 GMT-0500 (Central Daylight Time),Errors & Omissions,204883.83
Fri May 31 2024 19:00:00 GMT-0500 (Central Daylight Time),Event Cancellation,152373.08
Fri May 31 2024 19:00:00 GMT-0500 (Central Daylight Time),Marine Cargo,259035.06
Tue Apr 30 2024 19:00:00 GMT-0500 (Central Daylight Time),Cyber Liability,548726.38
Tue Apr 30 2024 19:00:00 GMT-0500 (Central Daylight Time),Directors & Officers,715097.15
Tue Apr 30 2024 19:00:00 GMT-0500 (Central Daylight Time),Errors & Omissions,307660.42
Tue Apr 30 2024 19:00:00 GMT-0500 (Central Daylight Time),Event Cancellation,179663.81
Tue Apr 30 2024 19:00:00 GMT-0500 (Central Daylight Time),Marine Cargo,241126.75
Sun Mar 31 2024 19:00:00 GMT-0500 (Central Daylight Time),Cyber Liability,530578.17
Sun Mar 31 2024 19:00:00 GMT-0500 (Central Daylight Time),Directors & Officers,875948.84
Sun Mar 31 2024 19:00:00 GMT-0500 (Central Daylight Time),Errors & Omissions,289025.63
Sun Mar 31 2024 19:00:00 GMT-0500 (Central Daylight Time),Event Cancellation,152718.68
Sun Mar 31 2024 19:00:00 GMT-0500 (Central Daylight Time),Marine Cargo,260493.93
Thu Feb 29 2024 18:00:00 GMT-0600 (Central Standard Time),Cyber Liability,558136.62
Thu Feb 29 2024 18:00:00 GMT-0600 (Central Standard Time),Directors & Officers,733541.03
Thu Feb 29 2024 18:00:00 GMT-0600 (Central Standard Time),Errors & Omissions,328096.71
Thu Feb 29 2024 18:00:00 GMT-0600 (Central Standard Time),Event Cancellation,152278.03
Thu Feb 29 2024 18:00:00 GMT-0600 (Central Standard Time),Marine Cargo,289084.9
Wed Jan 31 2024 18:00:00 GMT-0600 (Central Standard Time),Cyber Liability,331801.76
Wed Jan 31 2024 18:00:00 GMT-0600 (Central Standard Time),Directors & Officers,762317.54
Wed Jan 31 2024 18:00:00 GMT-0600 (Central Standard Time),Errors & Omissions,410225.91
Wed Jan 31 2024 18:00:00 GMT-0600 (Central Standard Time),Event Cancellation,143728.34
Wed Jan 31 2024 18:00:00 GMT-0600 (Central Standard Time),Marine Cargo,277739.81
Sun Dec 31 2023 18:00:00 GMT-0600 (Central Standard Time),Cyber Liability,488212.03
Sun Dec 31 2023 18:00:00 GMT-0600 (Central Standard Time),Directors & Officers,662425.06
Sun Dec 31 2023 18:00:00 GMT-0600 (Central Standard Time),Errors & Omissions,357493.8
Sun Dec 31 2023 18:00:00 GMT-0600 (Central Standard Time),Event Cancellation,211694.92
Sun Dec 31 2023 18:00:00 GMT-0600 (Central Standard Time),Marine Cargo,295741.28
Thu Nov 30 2023 18:00:00 GMT-0600 (Central Standard Time),Cyber Liability,442726.31
Thu Nov 30 2023 18:00:00 GMT-0600 (Central Standard Time),Directors & Officers,717542.14
Thu Nov 30 2023 18:00:00 GMT-0600 (Central Standard Time),Errors & Omissions,246067.19
Thu Nov 30 2023 18:00:00 GMT-0600 (Central Standard Time),Event Cancellation,158500.92
Thu Nov 30 2023 18:00:00 GMT-0600 (Central Standard Time),Marine Cargo,273860.46
Tue Oct 31 2023 19:00:00 GMT-0500 (Central Daylight Time),Cyber Liability,456687.29
Tue Oct 31 2023 19:00:00 GMT-0500 (Central Daylight Time),Directors & Officers,574525.73
Tue Oct 31 2023 19:00:00 GMT-0500 (Central Daylight Time),Errors & Omissions,365923.05
Tue Oct 31 2023 19:00:00 GMT-0500 (Central Daylight Time),Event Cancellation,183031.25
Tue Oct 31 2023 19:00:00 GMT-0500 (Central Daylight Time),Marine Cargo,266114.12
Sat Sep 30 2023 19:00:00 GMT-0500 (Central Daylight Time),Cyber Liability,553084.53
Sat Sep 30 2023 19:00:00 GMT-0500 (Central Daylight Time),Directors & Officers,622874
Sat Sep 30 2023 19:00:00 GMT-0500 (Central Daylight Time),Errors & Omissions,313681.62
Sat Sep 30 2023 19:00:00 GMT-0500 (Central Daylight Time),Event Cancellation,213145.01
Sat Sep 30 2023 19:00:00 GMT-0500 (Central Daylight Time),Marine Cargo,219001.21
Thu Aug 31 2023 19:00:00 GMT-0500 (Central Daylight Time),Cyber Liability,456566.63
Thu Aug 31 2023 19:00:00 GMT-0500 (Central Daylight Time),Directors & Officers,693132.29
Thu Aug 31 2023 19:00:00 GMT-0500 (Central Daylight Time),Errors & Omissions,330398.82
Thu Aug 31 2023 19:00:00 GMT-0500 (Central Daylight Time),Event Cancellation,142764.27
Thu Aug 31 2023 19:00:00 GMT-0500 (Central Daylight Time),Marine Cargo,313039.5
Mon Jul 31 2023 19:00:00 GMT-0500 (Central Daylight Time),Cyber Liability,493687.64
Mon Jul 31 2023 19:00:00 GMT-0500 (Central Daylight Time),Directors & Officers,721297.47
Mon Jul 31 2023 19:00:00 GMT-0500 (Central Daylight Time),Errors & Omissions,384620.86
Mon Jul 31 2023 19:00:00 GMT-0500 (Central Daylight Time),Event Cancellation,146990.09
Mon Jul 31 2023 19:00:00 GMT-0500 (Central Daylight Time),Marine Cargo,237838.17
Fri Jun 30 2023 19:00:00 GMT-0500 (Central Daylight Time),Cyber Liability,438658.83
Fri Jun 30 2023 19:00:00 GMT-0500 (Central Daylight Time),Directors & Officers,871615.66
Fri Jun 30 2023 19:00:00 GMT-0500 (Central Daylight Time),Errors & Omissions,338128.31
Fri Jun 30 2023 19:00:00 GMT-0500 (Central Daylight Time),Event Cancellation,143776.22
Fri Jun 30 2023 19:00:00 GMT-0500 (Central Daylight Time),Marine Cargo,233911.87
Wed May 31 2023 19:00:00 GMT-0500 (Central Daylight Time),Cyber Liability,604482.21
Wed May 31 2023 19:00:00 GMT-0500 (Central Daylight Time),Directors & Officers,557962.57
Wed May 31 2023 19:00:00 GMT-0500 (Central Daylight Time),Errors & Omissions,269482.98
Wed May 31 2023 19:00:00 GMT-0500 (Central Daylight Time),Event Cancellation,118334.12
Wed May 31 2023 19:00:00 GMT-0500 (Central Daylight Time),Marine Cargo,312876.1
Sun Apr 30 2023 19:00:00 GMT-0500 (Central Daylight Time),Cyber Liability,475998.04
Sun Apr 30 2023 19:00:00 GMT-0500 (Central Daylight Time),Directors & Officers,742458.8
Sun Apr 30 2023 19:00:00 GMT-0500 (Central Daylight Time),Errors & Omissions,324289.73
Sun Apr 30 2023 19:00:00 GMT-0500 (Central Daylight Time),Event Cancellation,113503.6
Sun Apr 30 2023 19:00:00 GMT-0500 (Central Daylight Time),Marine Cargo,289134.75
Fri Mar 31 2023 19:00:00 GMT-0500 (Central Daylight Time),Cyber Liability,633066.86
Fri Mar 31 2023 19:00:00 GMT-0500 (Central Daylight Time),Directors & Officers,792752.1
Fri Mar 31 2023 19:00:00 GMT-0500 (Central Daylight Time),Errors & Omissions,307979.76
Fri Mar 31 2023 19:00:00 GMT-0500 (Central Daylight Time),Event Cancellation,170684.46
Fri Mar 31 2023 19:00:00 GMT-0500 (Central Daylight Time),Marine Cargo,240933.72
Tue Feb 28 2023 18:00:00 GMT-0600 (Central Standard Time),Cyber Liability,402190.73
Tue Feb 28 2023 18:00:00 GMT-0600 (Central Standard Time),Directors & Officers,683974.54
Tue Feb 28 2023 18:00:00 GMT-0600 (Central Standard Time),Errors & Omissions,330505.61
Tue Feb 28 2023 18:00:00 GMT-0600 (Central Standard Time),Event Cancellation,171040.91
Tue Feb 28 2023 18:00:00 GMT-0600 (Central Standard Time),Marine Cargo,302632.32
Tue Jan 31 2023 18:00:00 GMT-0600 (Central Standard Time),Cyber Liability,438448.91
Tue Jan 31 2023 18:00:00 GMT-0600 (Central Standard Time),Directors & Officers,869374.52
Tue Jan 31 2023 18:00:00 GMT-0600 (Central Standard Time),Errors & Omissions,375274.93
Tue Jan 31 2023 18:00:00 GMT-0600 (Central Standard Time),Event Cancellation,180623.99
Tue Jan 31 2023 18:00:00 GMT-0600 (Central Standard Time),Marine Cargo,257255.55
Sat Dec 31 2022 18:00:00 GMT-0600 (Central Standard Time),Cyber Liability,609410.17
Sat Dec 31 2022 18:00:00 GMT-0600 (Central Standard Time),Directors & Officers,696160.95
Sat Dec 31 2022 18:00:00 GMT-0600 (Central Standard Time),Errors & Omissions,329208.09
Sat Dec 31 2022 18:00:00 GMT-0600 (Central Standard Time),Event Cancellation,214977.15
Sat Dec 31 2022 18:00:00 GMT-0600 (Central Standard Time),Marine Cargo,325161.95
Wed Nov 30 2022 18:00:00 GMT-0600 (Central Standard Time),Cyber Liability,458334.57
Wed Nov 30 2022 18:00:00 GMT-0600 (Central Standard Time),Directors & Officers,486587.55
Wed Nov 30 2022 18:00:00 GMT-0600 (Central Standard Time),Errors & Omissions,345656.64
Wed Nov 30 2022 18:00:00 GMT-0600 (Central Standard Time),Event Cancellation,151488.78
Wed Nov 30 2022 18:00:00 GMT-0600 (Central Standard Time),Marine Cargo,253443.95
Mon Oct 31 2022 19:00:00 GMT-0500 (Central Daylight Time),Cyber Liability,497462.76
Mon Oct 31 2022 19:00:00 GMT-0500 (Central Daylight Time),Directors & Officers,661365.79
Mon Oct 31 2022 19:00:00 GMT-0500 (Central Daylight Time),Errors & Omissions,356277.65
Mon Oct 31 2022 19:00:00 GMT-0500 (Central Daylight Time),Event Cancellation,146303.54
Mon Oct 31 2022 19:00:00 GMT-0500 (Central Daylight Time),Marine Cargo,201349.45
Fri Sep 30 2022 19:00:00 GMT-0500 (Central Daylight Time),Cyber Liability,464281.08
Fri Sep 30 2022 19:00:00 GMT-0500 (Central Daylight Time),Directors & Officers,608980.36
Fri Sep 30 2022 19:00:00 GMT-0500 (Central Daylight Time),Errors & Omissions,348025.62
Fri Sep 30 2022 19:00:00 GMT-0500 (Central Daylight Time),Event Cancellation,166210.29
Fri Sep 30 2022 19:00:00 GMT-0500 (Central Daylight Time),Marine Cargo,355493.86
Wed Aug 31 2022 19:00:00 GMT-0500 (Central Daylight Time),Cyber Liability,449012.17
Wed Aug 31 2022 19:00:00 GMT-0500 (Central Daylight Time),Directors & Officers,741191.97
Wed Aug 31 2022 19:00:00 GMT-0500 (Central Daylight Time),Errors & Omissions,316127.07
Wed Aug 31 2022 19:00:00 GMT-0500 (Central Daylight Time),Event Cancellation,157116.65
Wed Aug 31 2022 19:00:00 GMT-0500 (Central Daylight Time),Marine Cargo,258101.18
Sun Jul 31 2022 19:00:00 GMT-0500 (Central Daylight Time),Cyber Liability,546164.5
Sun Jul 31 2022 19:00:00 GMT-0500 (Central Daylight Time),Directors & Officers,942945.8
Sun Jul 31 2022 19:00:00 GMT-0500 (Central Daylight Time),Errors & Omissions,233910.79
Sun Jul 31 2022 19:00:00 GMT-0500 (Central Daylight Time),Event Cancellation,170888.77
Sun Jul 31 2022 19:00:00 GMT-0500 (Central Daylight Time),Marine Cargo,251979.35
Thu Jun 30 2022 19:00:00 GMT-0500 (Central Daylight Time),Cyber Liability,514461.62
Thu Jun 30 2022 19:00:00 GMT-0500 (Central Daylight Time),Directors & Officers,654389.57
Thu Jun 30 2022 19:00:00 GMT-0500 (Central Daylight Time),Errors & Omissions,303436.06
Thu Jun 30 2022 19:00:00 GMT-0500 (Central Daylight Time),Event Cancellation,143637.99
Thu Jun 30 2022 19:00:00 GMT-0500 (Central Daylight Time),Marine Cargo,310979.45
Tue May 31 2022 19:00:00 GMT-0500 (Central Daylight Time),Cyber Liability,422062.61
Tue May 31 2022 19:00:00 GMT-0500 (Central Daylight Time),Directors & Officers,690335.8
Tue May 31 2022 19:00:00 GMT-0500 (Central Daylight Time),Errors & Omissions,243590.65
Tue May 31 2022 19:00:00 GMT-0500 (Central Daylight Time),Event Cancellation,214938.32
Tue May 31 2022 19:00:00 GMT-0500 (Central Daylight Time),Marine Cargo,277583.42
Sat Apr 30 2022 19:00:00 GMT-0500 (Central Daylight Time),Cyber Liability,469361.6
Sat Apr 30 2022 19:00:00 GMT-0500 (Central Daylight Time),Directors & Officers,798368.09
Sat Apr 30 2022 19:00:00 GMT-0500 (Central Daylight Time),Errors & Omissions,412611.37
Sat Apr 30 2022 19:00:00 GMT-0500 (Central Daylight Time),Event Cancellation,189491.66
Sat Apr 30 2022 19:00:00 GMT-0500 (Central Daylight Time),Marine Cargo,279127.76
Thu Mar 31 2022 19:00:00 GMT-0500 (Central Daylight Time),Cyber Liability,492513.2
Thu Mar 31 2022 19:00:00 GMT-0500 (Central Daylight Time),Directors & Officers,723303.7
Thu Mar 31 2022 19:00:00 GMT-0500 (Central Daylight Time),Errors & Omissions,325538.33
Thu Mar 31 2022 19:00:00 GMT-0500 (Central Daylight Time),Event Cancellation,191922.01
Thu Mar 31 2022 19:00:00 GMT-0500 (Central Daylight Time),Marine Cargo,227582.23
Mon Feb 28 2022 18:00:00 GMT-0600 (Central Standard Time),Cyber Liability,488235.53
Mon Feb 28 2022 18:00:00 GMT-0600 (Central Standard Time),Directors & Officers,744765.88
Mon Feb 28 2022 18:00:00 GMT-0600 (Central Standard Time),Errors & Omissions,335239.81
Mon Feb 28 2022 18:00:00 GMT-0600 (Central Standard Time),Event Cancellation,159084.99
Mon Feb 28 2022 18:00:00 GMT-0600 (Central Standard Time),Marine Cargo,197025.63
Mon Jan 31 2022 18:00:00 GMT-0600 (Central Standard Time),Cyber Liability,333468.65
Mon Jan 31 2022 18:00:00 GMT-0600 (Central Standard Time),Directors & Officers,629145.1
Mon Jan 31 2022 18:00:00 GMT-0600 (Central Standard Time),Errors & Omissions,326893.23
Mon Jan 31 2022 18:00:00 GMT-0600 (Central Standard Time),Event Cancellation,176591.38
Mon Jan 31 2022 18:00:00 GMT-0600 (Central Standard Time),Marine Cargo,181719.24
Fri Dec 31 2021 18:00:00 GMT-0600 (Central Standard Time),Cyber Liability,405199.91
Fri Dec 31 2021 18:00:00 GMT-0600 (Central Standard Time),Directors & Officers,715096.91
Fri Dec 31 2021 18:00:00 GMT-0600 (Central Standard Time),Errors & Omissions,446592.16
Fri Dec 31 2021 18:00:00 GMT-0600 (Central Standard Time),Event Cancellation,152480.8
Fri Dec 31 2021 18:00:00 GMT-0600 (Central Standard Time),Marine Cargo,259711.27
